City,State,Zip Code,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,6 Bedroom
Herndon,VA,20171,0,0,0,0,0,0
Leesburg,VA,20175,0,0,0,0,0,0
Leesburg,VA,20176,0,0,0,0,0,0
Lorton,VA,22079,0,0,0,0,0,0
Manassas,VA,20109,0,0,0,0,0,0
Manassas,VA,20110,0,1.057,0,0,0,0
Manassas,VA,20111,0,0,0,0,0,0
Manassas,VA,20112,0,0,0,0,0,0
McLean,VA,22101,0,0,0,0,0,0
McLean,VA,22102,0,1.189,0,0,0,0
Nokesville,VA,20181,0,0,0,0,0,0
Oakton,VA,22124,0,1.201,0,0,0,0
Occoquan,VA,22125,0,0,0,0,0,0
Reston,VA,20190,0,2.189,0,0,0,0
Reston,VA,20191,0,0.85,0,0,0,0
Reston,VA,20194,0,0,0,0,0,0
Springfield,VA,22150,0,0,0,0,0,0
Springfield,VA,22151,0,0,0,0,0,0
Springfield,VA,22152,0,0,0,0,0,0
Springfield,VA,22153,0,0,0,0,0,0
Sterling,VA,20164,0,0,0,0,0,0
Sterling,VA,20165,0,0,0,0,0,0
Sterling,VA,20166,0,0,0,0,0,0
Triangle,VA,22172,0,0,0,0,0,0
Vienna,VA,22180,0,0,0,0,0,0
Vienna,VA,22181,0,0,0,0,0,0
Vienna,VA,22182,0,0,0,0,0,0
Woodbridge,VA,22191,0,0,0,0,0,0
Woodbridge,VA,22192,0,0,0,0,0,0
Woodbridge,VA,22193,0,0,0,0,0,0
