Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Clifton,VA,20124,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Bristow,VA,20136,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,0.962,74,1.154,-338,1.098,-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177,-345,1.172,-379,1.098,-244,0,0,0,0,0,0,0.939,118,1.002,-3,0,0,0,0
washingtondc,,Catharpin,VA,20143,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Ashburn,VA,20147,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0.859,195,1.197,-318,1.091,-184,1.266,-638,0,0,0,0,0.859,195,1.245,-395,0.628,755,0,0,0,0,0,0,0,0,1.488,-786,1.344,-698,1.343,-822,0,0,0,0,0,0,1.115,-186,1.073,-149,1.012,-30,0,0,0,0
washingtondc,,Ashburn,VA,20148,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.815,-1098,1.199,-328,1.208,-437,1.324,-761,0,0,0,0,1.1,-135,1.008,-12,0.907,195,0,0,0,0,0,0,2.528,-2060,1.244,-403,1.41,-860,1.527,-1239,0,0,0,0,0,0,1.179,-296,1.185,-389,1.192,-451,0,0,0,0
washingtondc,,Chantilly,VA,20151,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Chantilly,VA,20152,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,1.26,-507,1.595,-1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388,-757,1.756,-1511,0,0,0,0,0,0,0,0,1.23,-448,1.194,-388,0,0,0,0
washingtondc,,Gainesville,VA,20155,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,1.373,-512,1.0,1,1.174,-366,0,0,0,0,0,0,1.472,-649,0,0,0,0,0,0,0,0,0,0,1.557,-765,1.285,-567,1.233,-488,0,0,0,0,0,0,1.169,-232,0.918,163,0.883,246,0,0,0,0
washingtondc,,Sterling,VA,20164,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0.318,952,0.973,41,1.051,-90,0,0,0,0,0,0,0.318,952,0.668,511,0,0,0,0,0,0,0,0,0,0,0.743,396,1.168,-299,0,0,0,0,0,0,0,0,1.034,-52,0.961,70,0,0,0,0,0,0
washingtondc,,Sterling,VA,20165,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,1.1,-155,1.271,-485,1.49,-1029,0,0,0,0,0,0,1.1,-155,0,0,0,0,0,0,0,0,0,0,1.217,-336,1.423,-756,1.558,-1171,0,0,0,0,0,0,0.923,120,1.217,-388,1.108,-226,0,0,0,0
washingtondc,,Sterling,VA,20166,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',2.185,-1807,1.012,-20,0.989,24,0,0,0,0,0,0,0,0,0.993,12,0,0,0,0,0,0,0,0,0,0,0,0,1.242,-522,0,0,0,0,0,0,2.185,-1807,1.23,-380,0.98,44,0,0,0,0,0,0
