City,State,Zip Code,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
Alexandria,VA,22303,0,1.349,-610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,-184,0,0,0,0,0,0,0,0
Alexandria,VA,22304,-84,1.141,-264,0,0,0,0,0,0,0,0,0,0,0,0,1.125,-285,1.178,-534,0,0,0,0,0,0,1.188,-325,0,0,0,0,0,0,0,0
Alexandria,VA,22305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402,-1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22307,0,1.011,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,267,0,0,0,0,0,0,0,0,0,0,0.692,710,0,0,0,0,0,0
Alexandria,VA,22310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371,-900,1.136,-353,0,0,0,0,0,0
Alexandria,VA,22312,0,1.982,-864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22314,-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,22315,0,1.048,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098,-230,0,0,0,0,0,0
Annandale,VA,22003,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.201,-493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22201,-560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218,-632,0,0,2.14,-3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.782,-1979,0,0,0,0,0,0,0,0
Arlington,VA,22203,-159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159,-622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22204,166,1.116,-197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.419,-3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22206,0,1.285,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235,-726,0,0,0,0,0,0
Arlington,VA,22207,0,0,0,0,0,0,0,0,0,0,0,2.825,-2008,0,0,1.552,-1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22209,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,VA,22213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashburn,VA,20147,0,1.363,-571,0,0,0,0,0,0,0,0,0,0,0,0,3.061,-1855,0,0,0,0,0,0,0,0,0,0,1.106,-210,0,0,0,0,0,0
Ashburn,VA,20148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148,-319,0,0,0,0,0,0
Bristow,VA,20136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.007,-17,0.988,32,0.906,283,0,0,0,0,0,0,1.013,-24,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burke,VA,22015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catharpin,VA,20143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centreville,VA,20120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112,-335,0,0,0,0,0.986,29,0,0,0,0,0,0
Centreville,VA,20121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069,-127,0,0,0,0,0,0
Chantilly,VA,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chantilly,VA,20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.151,-325,0,0,0,0,0,0
Clifton,VA,20124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries,VA,22026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunn Loring,VA,22027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227,-682,0,0,0,0,0,0
Fairfax,VA,22030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,-1586,0,0,0,0,0,0,1.101,-267,0,0,0,0,0,0
Fairfax,VA,22031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,VA,22033,0,1.11,-195,1.162,-300,0,0,0,0,0,0,0,0,0,0,0,0,1.929,-1510,0,0,0,0,0,0,0,0,1.2,-444,0,0,0,0,0,0
Fairfax Station,VA,22039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22041,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22042,-822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22043,0,1.015,-34,0,0,0,0,0,0,0,0,0,0,0,0,1.365,-729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22044,0,1.051,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church,VA,22046,0,1.121,-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783,673,0,0,0,0,0,0,0,0
Fort Belvoir,VA,22060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gainesville,VA,20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954,121,1.033,-90,0,0,0,0,0,0,0.843,343,0,0,0,0,0,0
Great Falls,VA,22066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haymarket,VA,20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,106,0,0,0.995,11,0,0,0,0
Herndon,VA,20170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
