Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Manassas,VA,20110,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0.925,124,0.948,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,102,0,0,0,0,0,0,0,0,0.875,200,0,0,0,0,0,0
washingtondc,,Manassas,VA,20111,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0.8,380,1.119,-237,1.389,-720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,-721,0,0,0,0,0,0,0.831,321,0.887,226,0,0,0,0
washingtondc,,Manassas,VA,20112,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Centreville,VA,20120,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,1.112,-335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112,-335,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Centreville,VA,20121,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,1.063,-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069,-127,0,0,0,0,0,0
washingtondc,,Clifton,VA,20124,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Bristow,VA,20136,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0.929,141,0,0,0.878,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878,381,0,0,0,0,0,0,0.998,5,0,0,0,0,0,0
washingtondc,,Catharpin,VA,20143,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Ashburn,VA,20147,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.35,-551,1.164,-319,0,0,0,0,0,0,0,0,1.45,-709,0,0,0,0,0,0,0,0,0,0,0,0,3.061,-1855,0,0,0,0,0,0,0,0,0,0,1.118,-230,0,0,0,0,0,0
washingtondc,,Ashburn,VA,20148,Successful,'2017-03-04',Successful,'2017-03-04',||,'2017-03-04',0,0,1.439,-571,1.174,-375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,-334,0,0,0,0,0,0
