Craigslist URL,Neighborhood,City,State,ZipCode,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun
richmond,,Chesterfield,VA,23237,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23238,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23240,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23241,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23242,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23249,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23250,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23255,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23260,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23261,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23269,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23273,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23274,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23276,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23278,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23279,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23282,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23284,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23285,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23286,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23288,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23289,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23290,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23291,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23292,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23293,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23294,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23295,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23297,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23298,2016-01-01',,2016-01-01',
