Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
miami,,Miami,FL,33170,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.729,420,0.873,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33173,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.32,1060,0.686,440,0.75,526,1.036,-87,0,0,0,0,0.32,1060,0.686,440,0.687,532,0,0,0,0,0,0,0,0,0.895,189,0.757,560,1.071,-171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33175,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.565,718,0.768,533,1.133,-333,0,0,0,0,0,0,0.586,658,0,0,0,0,0,0,0,0,0,0,0.765,400,0.757,570,1.133,-333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33177,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.579,611,0.804,352,0.772,478,0.798,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,788,0.804,369,0.772,478,0.798,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33179,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.322,814,0.411,854,0.728,475,1.048,-115,0.891,361,0,0,0.322,814,0.409,857,0.488,794,0,0,0,0,0,0,0,0,0.659,509,0.616,844,1.153,-386,1.153,-389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33181,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.509,1031,1.135,-296,1.137,-563,0,0,0,0,0,0,0.536,975,0,0,0,0,0,0,0,0,0,0,0.775,292,2.408,-2604,1.11,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33182,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.889,234,0.552,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,156,0.552,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33180,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.714,451,0.873,248,0.995,13,1.816,-1796,0,0,0,0,0.737,401,0.873,248,0.736,870,0,0,0,0,0,0,0,0,0,0,2.366,-2937,1.863,-1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33184,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.588,619,0.705,701,1.071,-149,1.067,-154,0,0,0,0,0.588,618,0,0,0,0,0,0,0,0,0,0,0,0,0.726,651,1.071,-149,1.067,-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33185,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.869,276,0.865,329,1.097,-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951,100,0.974,63,1.097,-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
